film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
Paranormal Activity 3,2011,sequel,68,59,63.5,58,60,-2,59,4.5,horror,52570000,52.57,104030000,104.03,103.01,103010000,"207,040,000",207.04,49.75%,5,4140.80%,1051.40%,,,http://www.amazon.com/gp/product/B00715SUI6/?tag=titb-20,1
Red State,2011,original screenplay,57,50,53.5,59,64,-5,61.5,-8,"action, horror, thriller",204230,0.20,1100000,1.10,0.77,769778,"1,100,001",1,69.98%,4,27.50%,5.11%,,,http://www.amazon.com/gp/product/B005KGPC4S/?tag=titb-20,1
Margin Call,2011,original screenplay,86,76,81,73,71,2,72,9,thriller,560000,0.56,5350000,5.35,14.15,14150000,"19,500,000",19.50,72.56%,3.5,557.14%,16.00%,,,http://www.amazon.com/gp/product/B008Y6SLL2/?tag=titb-20,1
Insidious,2011,original screenplay,67,52,59.5,65,70,-5,67.5,-8,"horror, thriller",13270000,13.27,54010000,54.01,43,43000000,"97,010,000",97.01,44.33%,1.5,6467.33%,884.67%,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20,1
Another Earth,2011,original screenplay,63,66,64.5,74,72,2,73,-8.5,sci-fi ,80000,0.08,1320000,1.32,0.45,450000,"1,770,000",1.77,25.42%,0.2,885.00%,40.00%,,,http://www.amazon.com/gp/product/B006FTCH2E/?tag=titb-20,1
Toy Story 3,2010,sequel,99,92,95.5,91,91,0,91,4.5,"animation, adventure, comedy",110300000,110.30,415000000,415.00,648.16,648160000,"1,063,160,000",1063.16,60.97%,200,531.58%,55.15%,Oscar Winner,Best Animated Feature,http://www.amazon.com/gp/product/B004C3DLJ8/?tag=titb-20,1
The King's Speech,2010,based on a true story,95,88,91.5,93,83,10,88,3.5,"biography, history",4400000,4.40,138790000,138.79,275.41,275410000,"414,200,000",414.20,66.49%,15,2761.33%,29.33%,Oscar Winner,"Best Picture, Best Director, Best Original Screenplay",http://www.amazon.com/gp/product/B004X4R49Y/?tag=titb-20,1
Black Swan        ,2010,original screenplay,88,79,83.5,86,80,6,83,0.5,"mystery, thriller",8380000,8.38,106950000,106.95,222.44,222440000,"329,390,000",329.39,67.53%,13,2533.77%,64.46%,,Best Actress,http://www.amazon.com/gp/product/B004U8VWLE/?tag=titb-20,1
Tangled,2010,adaptation,89,71,80,88,82,6,85,-5,"animation, comedy, family",48770000,48.77,200820000,200.82,390.97,390970000,"591,790,000",591.79,66.07%,260,227.61%,18.76%,,,http://www.amazon.com/gp/product/B005ZMUXDC/?tag=titb-20,1
Alice in Wonderland,2010,adaptation,52,53,52.5,72,55,17,63.5,-11,"adventure, family, fantasy",116100000,116.10,334190000,334.19,691.28,691280000,"1,025,470,000",1025.47,67.41%,200,512.74%,58.05%,,,http://www.amazon.com/gp/product/B003QTUQGU/?tag=titb-20,1
Prince of Persia: The Sands of Time,2010,adaptation,36,50,43,71,74,-3,72.5,-29.5,"action, adventure, fantasy",30000000,30.00,90760000,90.76,245.61,245610000,"336,370,000",336.37,73.02%,200,168.19%,15.00%,,,http://www.amazon.com/gp/product/B0060D0OWA/?tag=titb-20,1
Robin Hood,2010,adaptation,42,53,47.5,59,62,-3,60.5,-13,"action, adventure",36000000,36.00,105270000,105.27,216.4,216400000,"321,670,000",321.67,67.27%,200,160.84%,18.00%,,,http://www.amazon.com/gp/product/B003XQM2YU/?tag=titb-20,1
Iron Man 2,2010,sequel,74,57,65.5,80,66,14,73,-7.5,"action, adventure, sci-fi",128100000,128.10,312430000,312.43,311.5,311500000,"623,930,000",623.93,49.93%,200,311.97%,64.05%,,,http://www.amazon.com/gp/product/B0040Z9H5K/?tag=titb-20,1
Tron: Legacy,2010,sequel,50,49,49.5,67,71,-4,69,-19.5,"action, adventure, sci-fi",44030000,44.03,172060000,172.06,228,228000000,"400,060,000",400.06,56.99%,170,235.33%,25.90%,,,http://www.amazon.com/gp/product/B0094KT8W8/?tag=titb-20,1
How to Train Your Dragon,2010,adaptation,98,74,86,90,88,2,89,-3,"animation, adventure, comedy",43700000,43.70,217580000,217.58,277.3,277300000,"494,880,000",494.88,56.03%,165,299.93%,26.48%,,,http://www.amazon.com/gp/product/B0047C4KBW/?tag=titb-20,1
Shrek Forever After,2010,sequel,57,58,57.5,64,64,0,64,-6.5,"animation, adventure, comedy",70800000,70.80,238740000,238.74,513.86,513860000,"752,600,000",752.60,68.28%,165,456.12%,42.91%,,,http://www.amazon.com/gp/product/B004FI5F4O/?tag=titb-20,1
Inception,2010,original screenplay,86,74,80,93,86,7,89.5,-9.5,"action, adventure, mystery",62800000,62.80,292580000,292.58,532.96,532960000,"825,540,000",825.54,64.56%,160,515.96%,39.25%,,,http://www.amazon.com/gp/product/B0047WJ12K/?tag=titb-20,1
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,sequel ,49,53,51,63,60,3,61.5,-10.5,"adventure, family, fantasy",24000000,24.00,104390000,104.39,311.3,311300000,"415,690,000",415.69,74.89%,155,268.19%,15.48%,,,http://www.amazon.com/gp/product/B004XKXOF6/?tag=titb-20,1
The Last Airbender,2010,adaptation,6,20,13,42,27,15,34.5,-21.5,"action, adventure, fantasy",40300000,40.30,131770000,131.77,187.94,187940000,"319,710,000",319.71,58.78%,150,213.14%,26.87%,,,http://www.amazon.com/gp/product/B004FHP7ES/?tag=titb-20,1
The Sorcerer's Apprentice,2010,adaptation,42,46,44,57,62,-5,59.5,-15.5,"action, adventure, comedy",17600000,17.60,63150000,63.15,152.13,152130000,"215,280,000",215.28,70.67%,150,143.52%,11.73%,,,http://www.amazon.com/gp/product/B004EKCN16/?tag=titb-20,1
The Wolfman,2010,remake / reboot,33,43,38,38,51,-13,44.5,-6.5,"horror, thriller",31500000,31.50,61980000,61.98,77.81,77810000,"139,790,000",139.79,55.66%,150,93.19%,21.00%,,,http://www.amazon.com/gp/product/B003OUMKQA/?tag=titb-20,1
Megamind,2010,original screenplay,72,63,67.5,73,73,0,73,-5.5,"animation, action, comedy",46020000,46.02,148420000,148.42,173.47,173470000,"321,890,000",321.89,53.89%,130,247.61%,35.40%,,,http://www.amazon.com/gp/product/B004PGAQMW/?tag=titb-20,1
Clash of the Titans,2010,remake / reboot,28,39,33.5,48,48,0,48,-14.5,"action, adventure, fantasy",61200000,61.20,163210000,163.21,330,330000000,"493,210,000",493.21,66.91%,125,394.57%,48.96%,,,http://www.amazon.com/gp/product/B003RV43X4/?tag=titb-20,1
Harry Potter and the Deathly Hallows Part 1,2010,sequel,79,65,72,87,75,12,81,-9,"adventure, family, fantasy",125000000,125.00,295000000,295.00,664.3,664300000,"959,300,000",959.30,69.25%,125,767.44%,100.00%,,,http://www.amazon.com/gp/product/B004MPEFBE/?tag=titb-20,1
Knight and Day,2010,original screenplay,53,46,49.5,52,64,-12,58,-8.5,"action, comedy, romance",20200000,20.20,76420000,76.42,185.51,185510000,"261,930,000",261.93,70.82%,117,223.87%,17.26%,,,http://www.amazon.com/gp/product/B004EDKGSA/?tag=titb-20,1
Gulliver's Travels,2010,adaptation,21,33,27,31,44,-13,37.5,-10.5,"adventure, comedy, family",6300000,6.30,42780000,42.78,194.6,194600000,"237,380,000",237.38,81.98%,112,211.95%,5.63%,,,http://www.amazon.com/gp/product/B004X4R0VQ/?tag=titb-20,1
Salt,2010,original screenplay,62,65,63.5,62,65,-3,63.5,0,"action, crime, mystery",36000000,36.00,118310000,118.31,175.19,175190000,"293,500,000",293.50,59.69%,110,266.82%,32.73%,,,http://www.amazon.com/gp/product/B004BEMC6G/?tag=titb-20,1
Green Zone,2010,adaptation,53,63,58,60,66,-6,63,-5,"action, thriller",14300000,14.30,35050000,35.05,59.83,59830000,"94,880,000",94.88,63.06%,100,94.88%,14.30%,,,http://www.amazon.com/gp/product/B003K07DUC/?tag=titb-20,1
The A-Team,2010,adaptation,47,47,47,71,72,-1,71.5,-24.5,"action, adventure, thriller",25700000,25.70,77220000,77.22,100.02,100020000,"177,240,000",177.24,56.43%,100,177.24%,25.70%,,,http://www.amazon.com/gp/product/B004G8ZZHU/,1
The Other Guys,2010,original screenplay,78,64,71,57,67,-10,62,9,"action, comedy, crime",35500000,35.50,119220000,119.22,51.21,51210000,"170,430,000",170.43,30.05%,100,170.43%,35.50%,,,http://www.amazon.com/gp/product/B004DNT78Q/?tag=titb-20,1
The Tourist,2010,original screenplay,20,37,28.5,44,51,-7,47.5,-19,"action, romance, thriller",16000000,16.00,67630000,67.63,210.72,210720000,"278,350,000",278.35,75.70%,100,278.35%,16.00%,,,http://www.amazon.com/gp/product/B004QYZATW/?tag=titb-20,1
Little Fockers,2010,sequel,9,27,18,40,42,-2,41,-23,comedy,30830000,30.83,148440000,148.44,162.21,162210000,"310,650,000",310.65,52.22%,100,310.65%,30.83%,,,http://www.amazon.com/gp/product/B004QUGDTM/?tag=titb-20,1
Sex and the City 2,2010,sequel,15,27,21,49,41,8,45,-24,"comedy, romance",31000000,31.00,95350000,95.35,193,193000000,"288,350,000",288.35,66.93%,100,288.35%,31.00%,,,http://www.amazon.com/gp/product/B003ZJ23XU/?tag=titb-20,1
Percy Jackson & the Olympians: The Lightning Thief,2010,adaptation,50,47,48.5,57,52,5,54.5,-6,"adventure, family, fantasy",31200000,31.20,88770000,88.77,137.73,137730000,"226,500,000",226.50,60.81%,95,238.42%,32.84%,,,http://www.amazon.com/gp/product/B003U6BE8I/?tag=titb-20,1
Unstoppable,2010,based on a true story,86,69,77.5,73,68,5,70.5,7,"action, thriller",22690000,22.69,81560000,81.56,86.24,86240000,"167,800,000",167.80,51.39%,95,176.63%,23.88%,,,http://www.amazon.com/gp/product/B004NS710C/?tag=titb-20,1
Cats & Dogs: The Revenge of Kitty Galore,2010,sequel,13,30,21.5,43,52,-9,47.5,-26,"action, comedy, family",12300000,12.30,43590000,43.59,68.9,68900000,"112,490,000",112.49,61.25%,85,132.34%,14.47%,,,http://www.amazon.com/gp/product/B00493IOHA/?tag=titb-20,1
The Expendables,2010,original screenplay,40,45,42.5,58,63,-5,60.5,-18,"action, adventure, thriller",34800000,34.80,103070000,103.07,171.4,171400000,"274,470,000",274.47,62.45%,82,334.72%,42.44%,,,http://www.amazon.com/gp/product/B004AQR29C/?tag=titb-20,1
Edge of Darkness,2010,adaptation,55,55,55,56,67,-11,61.5,-6.5,"crime, mystery",17200000,17.20,43310000,43.31,37.81,37810000,"81,120,000",81.12,46.61%,80,101.40%,21.50%,,,http://www.amazon.com/gp/product/B003GB2V3O/?tag=titb-20,1
Legend of the Guardians: The Owls of Ga'Hoole,2010,adaptation,51,53,52,65,69,-4,67,-15,"animation, adventure, fantasy",16100000,16.10,55680000,55.68,84.4,84400000,"140,080,000",140.08,60.25%,80,175.10%,20.13%,,,http://www.amazon.com/gp/product/B004CURZFC/?tag=titb-20,1
Shutter Island,2010,adaptation,68,63,65.5,73,77,-4,75,-9.5,"mystery, thriller",41000000,41.00,128010000,128.01,166.79,166790000,"294,800,000",294.80,56.58%,80,368.50%,51.25%,,,http://www.amazon.com/gp/product/B003NTSBUG/?tag=titb-20,1
Yogi Bear,2010,adaptation,14,35,24.5,36,43,-7,39.5,-15,"animation, adventure, comedy",16400000,16.40,100250000,100.25,101.34,101340000,"201,590,000",201.59,50.27%,80,251.99%,20.50%,,,http://www.amazon.com/gp/product/B004QZ189W/?tag=titb-20,1
Grown Ups	,2010,original screenplay,10,30,20,59,50,9,54.5,-34.5,comedy,40500000,40.50,162000000,162.00,109.43,109430000,"271,430,000",271.43,40.32%,80,339.29%,50.63%,,,http://www.amazon.com/gp/product/B00493F28Y/?tag=titb-20,1
The Book of Eli        ,2010,original screenplay,48,53,50.5,68,73,-5,70.5,-20,"action, adventure, thriller",32700000,32.70,94840000,94.84,62.27,62270000,"157,110,000",157.11,39.63%,80,196.39%,40.88%,,,http://www.amazon.com/gp/product/B003KRLKHC/?tag=titb-20,1
Killers,2010,original screenplay,11,21,16,45,38,7,41.5,-25.5,"action, comedy, romance",15800000,15.80,47060000,47.06,51.1,51100000,"98,160,000",98.16,52.06%,75,130.88%,21.07%,,,http://www.amazon.com/gp/product/B004263YKQ/?tag=titb-20,1
Wall Street: Money Never Sleeps,2010,sequel,54,59,56.5,43,58,-15,50.5,6,drama,19000000,19.00,52470000,52.47,82.27,82270000,"134,740,000",134.74,61.06%,70,192.49%,27.14%,,,http://www.amazon.com/gp/product/B004GWZPOE/?tag=titb-20,1
Dinner for Schmucks,2010,adaptation,43,56,49.5,47,59,-12,53,-3.5,comedy,23500000,23.50,73030000,73.03,13.83,13830000,"86,860,000",86.86,15.92%,69,125.88%,34.06%,,,http://www.amazon.com/gp/product/B004GWL3FE/?tag=titb-20,1
Despicable Me,2010,original screenplay,81,72,76.5,81,76,5,78.5,-2,"animation, comedy, crime",56400000,56.40,251510000,251.51,291.6,291600000,"543,110,000",543.11,53.69%,69,787.12%,81.74%,,,http://www.amazon.com/gp/product/B0046B3QTG/?tag=titb-20,1
The Twilight Saga: Eclipse	,2010,sequel,50,58,54,74,47,27,60.5,-6.5,"adventure, fantasy, romance",64800000,64.80,300530000,300.53,397.96,397960000,"698,490,000",698.49,56.97%,68,1027.19%,95.29%,,,http://www.amazon.com/gp/product/B0045XKJBI/?tag=titb-20,1
Eat Pray Love	,2010,adaptation,36,50,43,46,48,-2,47,-4,romance,23100000,23.10,80570000,80.57,124.02,124020000,"204,590,000",204.59,60.62%,60,340.98%,38.50%,,,http://www.amazon.com/gp/product/B00493FLVC/?tag=titb-20,1
Scott Pilgrim vs. the World,2010,adaptation,81,69,75,83,80,3,81.5,-6.5,"action, comedy, fantasy",10600000,10.60,31520000,31.52,16.14,16140000,"47,660,000",47.66,33.86%,60,79.43%,17.67%,,,http://www.amazon.com/gp/product/B00448SE4S/?tag=titb-20,1
Resident Evil: Afterlife,2010,sequel,24,37,30.5,53,54,-1,53.5,-23,"action, adventure, horror",26700000,26.70,60130000,60.13,236.09,236090000,"296,220,000",296.22,79.70%,60,493.70%,44.50%,,,http://www.amazon.com/gp/product/B008Y6WO88/?tag=titb-20,1
Red,2010,adaptation,71,60,65.5,72,70,2,71,-5.5,"action, comedy, crime",21800000,21.80,90380000,90.38,108.63,108630000,"199,010,000",199.01,54.59%,58,343.12%,37.59%,,,http://www.amazon.com/gp/product/B004HWYTP4/?tag=titb-20,1
Burlesque,2010,original screenplay,36,47,41.5,66,66,0,66,-24.5,"musical, romance",11950000,11.95,39440000,39.44,50.08,50080000,"89,520,000",89.52,55.94%,55,162.76%,21.73%,,,http://www.amazon.com/gp/product/B004P12SSW/?tag=titb-20,1
Date Night,2010,original screenplay,66,56,61,58,58,0,58,3,"comedy, crime, romance",25200000,25.20,98710000,98.71,53.55,53550000,"152,260,000",152.26,35.17%,55,276.84%,45.82%,,,http://www.amazon.com/gp/product/B003TO0VLW/?tag=titb-20,1
Life as We Know It,2010,original screenplay,28,39,33.5,62,55,7,58.5,-25,"comedy, romance",14500000,14.50,53130000,53.13,43.03,43030000,"96,160,000",96.16,44.75%,52.274,183.95%,27.74%,,,http://www.amazon.com/gp/product/B004IYNP6U/?tag=titb-20,1
From Paris with Love,2010,original screenplay,38,42,40,57,66,-9,61.5,-21.5,"action, crime, thriller",8200000,8.20,24080000,24.08,28.75,28750000,"52,830,000",52.83,54.42%,52,101.60%,15.77%,,,http://www.amazon.com/gp/product/B003KN5DTC/?tag=titb-20,1
Valentine's Day,2010,original screenplay,17,34,25.5,54,50,4,52,-26.5,"comedy, romance",56200000,56.20,110490000,110.49,106,106000000,"216,490,000",216.49,48.96%,52,416.33%,108.08%,,,http://www.amazon.com/gp/product/B0091WZO1S/?tag=titb-20,1
Marmaduke,2010,adaptation,9,30,19.5,46,49,-3,47.5,-28,"comedy, family",11600000,11.60,33640000,33.64,50.12,50120000,"83,760,000",83.76,59.84%,50,167.52%,23.20%,,,http://www.amazon.com/gp/product/B0041FZR80/?tag=titb-20,1
The Social Network,2010,based on a true story,96,95,95.5,89,82,7,85.5,10,biography ,22400000,22.40,96960000,96.96,127.96,127960000,"224,920,000",224.92,56.89%,50,449.84%,44.80%,,,http://www.amazon.com/gp/product/B004HWR406/?tag=titb-20,1
Due Date,2010,original screenplay,40,51,45.5,56,63,-7,59.5,-14,comedy,32690000,32.69,100540000,100.54,111.24,111240000,"211,780,000",211.78,52.53%,50,423.56%,65.38%,,,http://www.amazon.com/gp/product/B004LFJWL8/?tag=titb-20,1
Tooth Fairy,2010,original screenplay,16,36,26,46,50,-4,48,-22,"comedy, family, fantasy",14000000,14.00,60020000,60.02,52.44,52440000,"112,460,000",112.46,46.63%,48,234.29%,29.17%,,,http://www.amazon.com/gp/product/B003LPR56I/?tag=titb-20,1
Jonah Hex,2010,adaptation,13,33,23,24,46,-22,35,-12,"action, fantasy ",5400000,5.40,10550000,10.55,0.36,360000,"10,910,000",10.91,3.30%,47,23.21%,11.49%,,,http://www.amazon.com/gp/product/B0041VT6HW/?tag=titb-20,1
The Ghost Writer,2010,adaptation,83,77,80,68,73,-5,70.5,9.5,"mystery, thriller",2000000,2.00,15540000,15.54,44.68,44680000,"60,220,000",60.22,74.19%,45,133.82%,4.44%,,,http://www.amazon.com/gp/product/B003SJ4VJ6/?tag=titb-20,1
Charlie St. Cloud	,2010,adaptation,27,37,32,62,48,14,55,-23,"fantasy, romance",12400000,12.40,31160000,31.16,17.03,17030000,"48,190,000",48.19,35.34%,44,109.52%,28.18%,,,http://www.amazon.com/gp/product/B0042UEU8M/?tag=titb-20,1
The Spy Next Door,2010,original screenplay,13,27,20,46,47,-1,46.5,-26.5,"action, comedy, family",9700000,9.70,24310000,24.31,20.93,20930000,"45,240,000",45.24,46.26%,43,105.21%,22.56%,,,http://www.amazon.com/gp/product/B003MUQT0A/?tag=titb-20,1
Morning Glory,2010,original screenplay,54,57,55.5,54,66,-12,60,-4.5,"comedy, romance",9200000,9.20,31010000,31.01,29.03,29030000,"60,040,000",60.04,48.35%,40,150.10%,23.00%,,,http://www.amazon.com/gp/product/B0094K1JPC/?tag=titb-20,1
The Bounty Hunter,2010,original screenplay,7,22,14.5,41,37,4,39,-24.5,"action, comedy, romance",20700000,20.70,67060000,67.06,69.27,69270000,"136,330,000",136.33,50.81%,40,340.83%,51.75%,,,http://www.amazon.com/gp/product/B003VMZSB0/?tag=titb-20,1
The Karate Kid,2010,remake / reboot,66,61,63.5,75,68,7,71.5,-8,"action, family, sport",55700000,55.70,176590000,176.59,182.53,182530000,"359,120,000",359.12,50.83%,40,897.80%,139.25%,,,http://www.amazon.com/gp/product/B0046U4KG0/?tag=titb-20,1
Get Him to the Greek,2010,sequel,73,65,69,63,69,-6,66,3,"comedy, music",17600000,17.60,60970000,60.97,30.29,30290000,"91,260,000",91.26,33.19%,40,228.15%,44.00%,,,http://www.amazon.com/gp/product/B0041VR5LQ/?tag=titb-20,1
Predators,2010,sequel,64,51,57.5,52,63,-11,57.5,0,"action, adventure, sci-fi",24800000,24.80,52000000,52.00,75.23,75230000,"127,230,000",127.23,59.13%,40,318.08%,62.00%,,,http://www.amazon.com/gp/product/B0047SF41G/?tag=titb-20,1
True Grit,2010,adaptation,96,80,88,86,78,8,82,6,"adventure, western",24000000,24.00,171240000,171.24,81.03,81030000,"252,270,000",252.27,32.12%,38,663.87%,63.16%,,,http://www.amazon.com/gp/product/B0054NRPMO/?tag=titb-20,1
The Town,2010,adaptation,94,74,84,83,77,6,80,4,"crime, thriller",23800000,23.80,92190000,92.19,61.84,61840000,"154,030,000",154.03,40.15%,37,416.30%,64.32%,,,http://www.amazon.com/gp/product/B004CEUEWE/?tag=titb-20,1
Hot Tub Time Machine,2010,original screenplay,64,63,63.5,57,64,-7,60.5,3,"adventure, comedy, sci-fi",14000000,14.00,50290000,50.29,14.28,14280000,"64,570,000",64.57,22.12%,36,179.36%,38.89%,,,http://www.amazon.com/gp/product/B003OEKOFK/?tag=titb-20,1
Furry Vengeance	,2010,original screenplay,8,23,15.5,36,30,6,33,-17.5,"comedy, family",6600000,6.60,17630000,17.63,18.61,18610000,"36,240,000",36.24,51.35%,35,103.54%,18.86%,,,http://www.amazon.com/gp/product/B003SJ6W4I/?tag=titb-20,1
The Back-up Plan,2010,original screenplay,20,34,27,47,54,-7,50.5,-23.5,"comedy, romance",12200000,12.20,37490000,37.49,39.99,39990000,"77,480,000",77.48,51.61%,35,221.37%,34.86%,,,http://www.amazon.com/gp/product/B003YY7BTW/?tag=titb-20,1
A Nightmare on Elm Street,2010,remake / reboot,13,35,24,40,53,-13,46.5,-22.5,"horror, mystery, thriller",32900000,32.90,63080000,63.08,52.59,52590000,"115,670,000",115.67,45.47%,35,330.49%,94.00%,,,http://www.amazon.com/gp/product/B0041VMSL8/?tag=titb-20,1
Nanny McPhee Returns,2010,sequel,77,52,64.5,54,51,3,52.5,12,"comedy, family, fantasy",8400000,8.40,29010000,29.01,64.23,64230000,"93,240,000",93.24,68.89%,35,266.40%,24.00%,,,http://www.amazon.com/gp/product/B0048KXRPS/?tag=titb-20,1
Repo Men,2010,adaptation,22,32,27,43,56,-13,49.5,-22.5,"action, crime, sci-fi",6100000,6.10,13790000,13.79,4.62,4620000,"18,410,000",18.41,25.10%,32,57.53%,19.06%,,,http://www.amazon.com/gp/product/B003XI6NQ6/?tag=titb-20,1
Going the Distance,2010,original screenplay,53,51,52,56,55,1,55.5,-3.5,"comedy, romance",6900000,6.90,17800000,17.80,24.25,24250000,"42,050,000",42.05,57.67%,32,131.41%,21.56%,,,http://www.amazon.com/gp/product/B004BBJ2MQ/?tag=titb-20,1
Takers,2010,original screenplay,27,45,36,57,57,0,57,-21,"action, crime, thriller",20500000,20.50,57740000,57.74,11.31,11310000,"69,050,000",69.05,16.38%,32,215.78%,64.06%,,,http://www.amazon.com/gp/product/B004GGNBYQ/?tag=titb-20,1
Extraordinary Measures	,2010,based on a true story,27,45,36,55,67,-12,61,-25,drama,6000000,6.00,12070000,12.07,3.07,3070000,"15,140,000",15.14,20.28%,31,48.84%,19.35%,,,http://www.amazon.com/gp/product/B003L7PKCW/?tag=titb-20,1
Kick-Ass,2010,adaptation,76,66,71,83,83,0,83,-12,"action, comedy",19800000,19.80,48070000,48.07,48.12,48120000,"96,190,000",96.19,50.03%,30,320.63%,66.00%,,,http://www.amazon.com/gp/product/B003TOMAPC/?tag=titb-20,1
Letters to Juliet,2010,adaptation,40,50,45,62,60,2,61,-16,"comedy, romance",13500000,13.50,53030000,53.03,26.15,26150000,"79,180,000",79.18,33.03%,30,263.93%,45.00%,,,http://www.amazon.com/gp/product/B003VS9V26/?tag=titb-20,1
Love & Other Drugs,2010,adaptation,48,55,51.5,55,61,-6,58,-6.5,"comedy, romance",9740000,9.74,32370000,32.37,70.44,70440000,"102,810,000",102.81,68.51%,30,342.70%,32.47%,,,http://www.amazon.com/gp/product/B00BN4QOW0/?tag=titb-20,1
Cop Out,2010,original screenplay,19,31,25,45,51,-6,48,-23,"action, comedy, crime",18210000,18.21,44880000,44.88,10.71,10710000,"55,590,000",55.59,19.27%,30,185.30%,60.70%,,,http://www.amazon.com/gp/product/B003R2JX06/?tag=titb-20,1
The Next Three Days,2010,remake / reboot,51,52,51.5,66,69,-3,67.5,-16,"crime, romance",6540000,6.54,21150000,21.15,46.3,46300000,"67,450,000",67.45,68.64%,30,224.83%,21.80%,,,http://www.amazon.com/gp/product/B004OZZ624/?tag=titb-20,1
Step Up 3D,2010,sequel,46,45,45.5,67,61,6,64,-18.5,"music, romance",15800000,15.80,42400000,42.40,116.89,116890000,"159,290,000",159.29,73.38%,30,530.97%,52.67%,,,http://www.amazon.com/gp/product/B004EK91LQ/?tag=titb-20,1
Case 39,2010,original screenplay,23,25,24,42,57,-15,49.5,-25.5,"horror, mystery, thriller",5400000,5.40,13260000,13.26,14.93,14930000,"28,190,000",28.19,52.96%,26,108.42%,20.77%,,,http://www.amazon.com/gp/product/B004I92OLW/?tag=titb-20,1
Legion,2010,original screenplay,19,32,25.5,36,44,-8,40,-14.5,"action, fantasy, horror",17500000,17.50,40170000,40.17,27.75,27750000,"67,920,000",67.92,40.86%,26,261.23%,67.31%,,,http://www.amazon.com/gp/product/B003EVJSBE/?tag=titb-20,1
Dear John,2010,adaptation,29,43,36,66,59,7,62.5,-26.5,"romance, war",30400000,30.40,80010000,80.01,34.96,34960000,"114,970,000",114.97,30.41%,25,459.88%,121.60%,,,http://www.amazon.com/gp/product/B003IWG4ZW/?tag=titb-20,1
